,capacity,geo_point_2d
0,6,"48.847346189209425,2.3967389893180453"
1,5,"48.87004586953596,2.3015809631709834"
2,6,"48.86533641785796,2.3523326245916953"
3,6,"48.84679055010291,2.3726205676597"
4,6,"48.84644718488064,2.3819069322408937"
5,6,"48.84141329961616,2.3295812822018966"
6,8,"48.83857473389808,2.351126985874807"
7,5,"48.86846336278956,2.3022989525583415"
8,5,"48.83534346493111,2.3976511110298975"
9,6,"48.825618463841884,2.3354893849047755"
10,7,"48.86204298080114,2.339824077770537"
11,6,"48.87867753774705,2.3223593602517316"
12,6,"48.84793256245796,2.3976621559594617"
13,6,"48.83873878868425,2.3456706940873797"
14,6,"48.87203245320097,2.336213327351153"
15,6,"48.86362161669064,2.388749947440682"
16,8,"48.840545739353345,2.3530181102532195"
17,6,"48.83486974714235,2.342129659907083"
18,6,"48.82465430313506,2.33968056578645"
19,5,"48.8862001709845,2.333657987773328"
20,6,"48.87988416432678,2.372079520071134"
21,6,"48.84489257786412,2.3425642540901963"
22,6,"48.85223530258879,2.3316268504932776"
23,6,"48.84062042604463,2.3943825689181053"
24,6,"48.86345408048291,2.3616743064305963"
25,6,"48.888916560361515,2.327940439673058"
26,9,"48.83327961354482,2.3413592025587584"
27,6,"48.84097151042545,2.3547645143477514"
28,5,"48.89026283613578,2.3533724316800666"
29,6,"48.86535516947649,2.394953827692688"
30,6,"48.84052306016885,2.3049979418247633"
31,6,"48.83796179006511,2.3040605031913453"
32,6,"48.8371817996627,2.2745150971795307"
33,6,"48.8527635053894,2.3350746029444274"
34,6,"48.87918919902332,2.3154568376974862"
35,6,"48.86425800551861,2.3000564341746537"
36,5,"48.87700909437076,2.331178370684005"
37,6,"48.839849694785265,2.346977161829344"
38,6,"48.840578751706914,2.345123201563939"
39,6,"48.84868017084886,2.2849770823398843"
40,6,"48.826851803493334,2.3481439226478713"
41,6,"48.85339037047728,2.2959985773979867"
42,6,"48.864280804556685,2.3685384143736"
43,6,"48.84414363237848,2.257045295996432"
44,5,"48.86593094670429,2.3984080784857316"
45,6,"48.859084462203874,2.3537831289189155"
46,6,"48.855443317323086,2.2710065674864763"
47,6,"48.88495454667224,2.3375498417568488"
48,6,"48.858147244896614,2.331045294834484"
49,5,"48.85201405969699,2.397743504199964"
50,6,"48.89934178293091,2.3659787540197192"
51,6,"48.884969492609045,2.3208018804142374"
52,7,"48.89924224855524,2.3393850839584296"
53,6,"48.882825422215724,2.3759856070443246"
54,6,"48.888110204868255,2.3773687245383703"
55,7,"48.88498813585638,2.3085138612114253"
56,6,"48.84359361387906,2.306432929843031"
57,6,"48.87852579107268,2.3959144003266863"
58,6,"48.872785842969286,2.309857000707664"
59,6,"48.89415981329041,2.353178567767045"
60,6,"48.88664767138175,2.345289893653385"
61,5,"48.86396875287391,2.3721214559572315"
62,5,"48.876842829336326,2.4115915397565564"
63,6,"48.82869676940658,2.350652591404466"
