,loc
0,"48.810059,2.291001"
1,"48.8840882,2.3644182"
2,"48.853421,2.266586"
3,"48.848951,2.413113"
4,"48.91386,2.319763"
5,"48.834377,2.389898"
6,"48.857683,2.309826"
7,"48.865141,2.407646"
8,"48.834498,2.389683"
9,"48.8772026,2.4063797"
10,"48.834391,2.389731"
11,"48.834218,2.389858"
12,"48.873256,2.396194"
13,"48.83448,2.389572"
14,"48.844231,2.255669"
15,"48.868872433,2.275797179"
16,"48.852937,2.300148"
17,"48.834456,2.389694"
18,"48.889861,2.384623"
19,"48.944275,2.286556"
20,"48.873803,2.40511"
21,"48.879234,2.286711"
22,"48.863153,2.389443"
23,"48.834421,2.389904"
24,"48.823012,2.322011"
25,"48.859536,2.293913"
26,"48.855958,2.27762"
27,"48.825174969,2.304056756"
28,"48.887769138,2.311589323"
29,"48.831720494,2.324446991"
30,"48.838059,2.399032"
31,"48.87939,2.352103"
32,"48.834486,2.389694"
33,"48.850668,2.412765"
34,"48.834322,2.389759"
35,"48.838639,2.404078"
36,"48.82827,2.317261"
37,"48.898618,2.22316"
38,"48.854833,2.288692"
39,"48.853635,2.409479"
40,"48.890574,2.337508"
41,"48.845188,2.297889"
42,"48.834441,2.390021"
43,"48.83286,2.292285"
44,"48.862112,2.269987"
45,"48.883335,2.394773"
46,"48.865660702,2.337263278"
47,"48.851573,2.378814"
48,"48.825672,2.311372"
49,"48.836577059,2.320104992"
50,"48.859893,2.296654"
51,"48.847992,2.367769"
52,"48.886412,2.347938"
53,"48.85312,2.38806"
54,"48.83627,2.292371"
55,"48.894125,2.322649"
56,"48.818501,2.358652"
57,"48.837956,2.295045"
58,"48.830789,2.380195"
59,"48.853422,2.29583"
60,"48.8739173,2.3550295"
61,"48.879601,2.314534"
62,"48.856584,2.327035"
63,"48.858054,2.272412"
64,"48.828987694,2.332209908"
65,"48.882163397,2.332197676"
66,"48.854791,2.295198"
67,"48.860044,2.27796"
68,"48.89298,2.343565"
69,"48.842183199,2.341169181"
70,"48.857918,2.391976"
71,"48.866079,2.403595"
72,"48.856317,2.292919"
73,"48.86597,2.398225"
74,"48.861977,2.40153"
75,"48.843957,2.387212"
76,"48.82719,2.374842"
77,"48.887692,2.30621"
78,"48.870329,2.349104"
