,origin,destination,periode,volume
0,zone_0,zone_0,HPM,2.551684097051998
3,zone_0,zone_1,HPM,1.1761916172140483
5,zone_0,zone_10,HPM,0.49536541025055125
10,zone_0,zone_100,HPM,8.010700868834968
14,zone_0,zone_101,HPM,27.553181375618127
19,zone_0,zone_102,HPM,0.2719609340373583
21,zone_0,zone_103,HPM,0.2594985302754703
23,zone_0,zone_104,HPM,0.3413576779607741
28,zone_0,zone_106,HPM,0.02928762506626206
31,zone_0,zone_107,HPM,0.29882867730159063
36,zone_0,zone_11,HPM,0.3291772345647656
39,zone_0,zone_111,HPM,2.0983775307428663
42,zone_0,zone_112,HPM,0.3352432403332471
47,zone_0,zone_113,HPM,4.7441916551879455
52,zone_0,zone_114,HPM,0.055553384474957196
54,zone_0,zone_115,HPM,1.887348168293865
57,zone_0,zone_116,HPM,4.218352000611123
60,zone_0,zone_117,HPM,7.953753661569625
64,zone_0,zone_118,HPM,2.5268899950194132
69,zone_0,zone_119,HPM,42.120892014457056
74,zone_0,zone_12,HPM,0.002131430223585303
78,zone_0,zone_120,HPM,0.531939083216856
82,zone_0,zone_121,HPM,0.5919505364401316
98,zone_0,zone_127,HPM,7.9445597393608995
105,zone_0,zone_129,HPM,7.973687729854229
114,zone_0,zone_130,HPM,12.113601768400413
120,zone_0,zone_131,HPM,0.36783195240118244
124,zone_0,zone_132,HPM,0.729065783921278
128,zone_0,zone_133,HPM,0.7017118309783585
132,zone_0,zone_137,HPM,13.609348580410737
137,zone_0,zone_138,HPM,0.08899145363961564
138,zone_0,zone_14,HPM,7.41894903354483
147,zone_0,zone_142,HPM,0.5083206091840815
149,zone_0,zone_144,HPM,45.65747579108933
156,zone_0,zone_146,HPM,1.7464965673485366
160,zone_0,zone_147,HPM,2.0062566808077285
163,zone_0,zone_148,HPM,0.39380369537584303
167,zone_0,zone_149,HPM,0.21000826485683366
171,zone_0,zone_150,HPM,3.881667224906169
176,zone_0,zone_151,HPM,1.0246188340314764
186,zone_0,zone_158,HPM,0.2999102895077382
189,zone_0,zone_161,HPM,0.1722535713877092
193,zone_0,zone_162,HPM,4.3904982985657215e-07
206,zone_0,zone_167,HPM,0.16877408222145124
223,zone_0,zone_175,HPM,0.028050666841937917
226,zone_0,zone_176,HPM,4.977618255728434
230,zone_0,zone_177,HPM,5.8487474485947715
234,zone_0,zone_178,HPM,2.9946008920100793
240,zone_0,zone_18,HPM,0.0951377987860249
243,zone_0,zone_180,HPM,0.11756290208946474
247,zone_0,zone_181,HPM,20.664382729696875
251,zone_0,zone_182,HPM,0.0886382748728725
255,zone_0,zone_183,HPM,0.016630767559871633
265,zone_0,zone_186,HPM,1.6682229334884913
271,zone_0,zone_187,HPM,19.509624863837484
277,zone_0,zone_188,HPM,7.1954877648942075
283,zone_0,zone_190,HPM,3.891546377817214
287,zone_0,zone_195,HPM,12.68738893194869
293,zone_0,zone_196,HPM,0.953128827157598
299,zone_0,zone_20,HPM,2.3857558232605034
304,zone_0,zone_200,HPM,3.551868128266149
310,zone_0,zone_201,HPM,8.674836238959138
316,zone_0,zone_202,HPM,0.47027941995264266
327,zone_0,zone_206,HPM,1.941504166502083
328,zone_0,zone_209,HPM,0.032567452108648656
331,zone_0,zone_21,HPM,5.237637118160508
337,zone_0,zone_210,HPM,0.6070894803555007
340,zone_0,zone_211,HPM,3.968797253047623
346,zone_0,zone_212,HPM,3.049116765000888
351,zone_0,zone_215,HPM,1.0230337288892564
353,zone_0,zone_216,HPM,0.008070536955606842
357,zone_0,zone_22,HPM,6.262136717885538
364,zone_0,zone_222,HPM,6.394581221405504
368,zone_0,zone_223,HPM,7.954106471658913
369,zone_0,zone_224,HPM,2.59520027010579
373,zone_0,zone_225,HPM,5.042458739061843
377,zone_0,zone_226,HPM,56.026578344308945
383,zone_0,zone_227,HPM,50.894374149606556
389,zone_0,zone_228,HPM,1.7834797959521318
392,zone_0,zone_229,HPM,3.1361280648415377
395,zone_0,zone_23,HPM,0.055129432195425064
409,zone_0,zone_235,HPM,1.9852426587645506
411,zone_0,zone_236,HPM,2.4456020984968556
419,zone_0,zone_242,HPM,0.41776558220536253
423,zone_0,zone_247,HPM,0.282210098232304
434,zone_0,zone_256,HPM,3.3550082882986594
438,zone_0,zone_257,HPM,0.8757978864730889
442,zone_0,zone_26,HPM,0.08386814611182404
444,zone_0,zone_260,HPM,0.5674541036919051
445,zone_0,zone_261,HPM,0.17591998770508033
447,zone_0,zone_264,HPM,1.3104099404085197
452,zone_0,zone_266,HPM,3.1475749832713387
457,zone_0,zone_271,HPM,6.317784028550096
463,zone_0,zone_276,HPM,7.673700635874675
468,zone_0,zone_277,HPM,3.84926173091422
480,zone_0,zone_289,HPM,0.00836819947422036
487,zone_0,zone_293,HPM,1.046299475949692
494,zone_0,zone_30,HPM,1.409627532800966
498,zone_0,zone_304,HPM,0.0012946730422617135
499,zone_0,zone_305,HPM,0.003581540813391539
500,zone_0,zone_31,HPM,12.316314004036045
504,zone_0,zone_32,HPM,3.9459722042432333
508,zone_0,zone_321,HPM,0.1337952236864259
512,zone_0,zone_322,HPM,0.10200049495175113
521,zone_0,zone_324,HPM,0.19900898545312012
525,zone_0,zone_325,HPM,0.8704084403206984
531,zone_0,zone_329,HPM,0.03357471725451004
534,zone_0,zone_33,HPM,1.1754051040751718
540,zone_0,zone_330,HPM,2.0016907206153904
547,zone_0,zone_334,HPM,0.1497972930068033
559,zone_0,zone_339,HPM,2.3696276103410425
